headline,url
What’s next for Nepal after ‘Gen Z’ protests forced its prime minister to quit?,https://www.dawn.com/news/1940972/whats-next-for-nepal-after-gen-z-protests-forced-its-prime-minister-to-quit
LHC summons NAB chairman in contempt of court case,https://www.dawn.com/news/1940964/lhc-summons-nab-chairman-in-contempt-of-court-case
‘The river is flowing like a river’: Karachi mocks mayor Murtaza Wahab’s post as the city floods again,https://images.dawn.com/news/1194128/the-river-is-flowing-like-a-river-karachi-mocks-mayor-murtaza-wahabs-post-as-the-city-floods-again
Pakistan joins global dialogue at US Soybean Export Council’s Soy Connext 2025,https://www.dawn.com/news/1940464/pakistan-joins-global-dialogue-at-us-soybean-export-councils-soy-connext-2025
‘Inspire greatness’: TCL showcases latest display technologies and AI innovations at IFA 2025,https://www.dawn.com/news/1939949/inspire-greatness-tcl-showcases-latest-display-technologies-and-ai-innovations-at-ifa-2025
"Riviera Group unveils Sky Garden Model Apartment, a landmark in Pakistan’s luxury living",https://www.dawn.com/news/1939642/riviera-group-unveils-sky-garden-model-apartment-a-landmark-in-pakistans-luxury-living
‘What other country gets away with all of this?’ — X furious over Israel bombing Qatar,https://images.dawn.com/news/1194127
Islamabad court issues arrest warrant for KP CM Gandapur in arms and liquor case,https://www.dawn.com/news/1940956/islamabad-court-issues-arrest-warrant-for-kp-cm-gandapur-in-arms-and-liquor-case
"US, India eye trade reset as Trump plans talks with Modi",https://www.dawn.com/news/1940950/us-india-eye-trade-reset-as-trump-plans-talks-with-modi
"Arshad Nadeem in good shape, eyes glory at World Athletics in Tokyo",https://www.dawn.com/news/1940794/arshad-in-good-shape-eyes-glory-in-tokyo
"Not just a disaster, the 2025 floods are a call to reimagine resilience",https://www.dawn.com/news/1940947/not-just-a-disaster-the-2025-floods-are-a-call-to-reimagine-resilience
Poland says ‘hostile objects’ downed in its airspace during Russian attack on Ukraine,https://www.dawn.com/news/1940942/poland-says-hostile-objects-downed-in-its-airspace-during-russian-attack-on-ukraine
"David Bowie archive with 90,000 items to open to public in London",https://images.dawn.com/news/1194126/david-bowie-archive-with-90000-items-to-open-to-public-in-london
"Karachi rain deaths rise to 6; over 300 relocated as heavy showers swell Lyari, Malir rivers",https://www.dawn.com/news/1940928/karachi-rain-deaths-rise-to-6-over-300-relocated-as-heavy-showers-swell-lyari-malir-rivers
Yamaha discontinues bike assembly as part of ‘change in business strategy’,https://www.dawn.com/news/1940829
"For Pakistan, investing in early life nutrition is a smart economic strategy",https://www.dawn.com/news/1940891
Hamas says its 5 members killed in Qatar attack but targeted Gaza chief survives,https://www.dawn.com/news/1940844
Apple unveils iPhone 17 Air amid AI race and tariff pressures,https://www.dawn.com/news/1940924/apple-unveils-iphone-17-air-amid-ai-race-and-tariff-pressures
Independence of the judiciary has been the first casualty of looming authoritarianism,https://www.dawn.com/news/1940885/judges-speak-out
Floodwaters keep south Punjab on edge as authorities warn next 2 days critical,https://www.dawn.com/news/1940846
"Editorial: Unless judges’ complaints are addressed, judiciary will continue to lose legitimacy and credibility",https://www.dawn.com/news/1940889/split-court
"KP Assembly denounces Punjab govt’s ‘wheat blockade’, threatens response",https://www.dawn.com/news/1940911/kp-assembly-denounces-punjab-govts-wheat-blockade-threatens-response
"ANP renews opposition to Kalabagh Dam
",https://www.dawn.com/news/1940906/anp-renews-opposition-to-kalabagh-dam
"Afghans upset as Khyber admin asks them to prepare for repatriation
",https://www.dawn.com/news/1940903/afghans-upset-as-khyber-admin-asks-them-to-prepare-for-repatriation
Five CTD Islamabad men dismissed for ‘kidnapping’ Afghan trader,https://www.dawn.com/news/1940895/five-ctd-islamabad-men-dismissed-for-kidnapping-afghan-trader
"With 12 new dengue cases in Rawalpindi, tally reaches 60
",https://www.dawn.com/news/1940893/with-12-new-dengue-cases-in-rawalpindi-tally-reaches-60
"Senate committee shows annoyance over deregulation of medicine prices
",https://www.dawn.com/news/1940890/senate-committee-shows-annoyance-over-deregulation-of-medicine-prices
Four PTI leaders write to CJP Afridi for early decision on appeals,https://www.dawn.com/news/1940788/four-pti-leaders-write-to-cjp-afridi-for-early-decision-on-appeals
"Six years on, woman still missing amid claims of kidnap by djinn
",https://www.dawn.com/news/1940819/six-years-on-woman-still-missing-amid-claims-of-kidnap-by-djinn
Motorist booked for playing loud music in Lahore,https://www.dawn.com/news/1940820/motorist-booked-for-playing-loud-music-in-lahore
